,hdu_id,hdu_name,population,gini,life_exp,r_dep,rdpc,r_age,mhdi,mhdi_e,mhdi_l,mhdi_i,ETA_S_mean,ETA_X_mean,ETA_S_std,ETA_X_std,region,car_robbery
0,1240810200001,Tirol / Petropólis / Areia Preta,18999,0.54,81.01,38.86,4119.01,14.54,0.948,0.912,0.934,1.0,320.0955820888213,237.7627396579477,129.18041974494673,94.91086792185618,east,77.0
1,1240810200002,Mãe Luiza,14371,0.46,72.67,48.0,497.12,6.65,0.694,0.634,0.795,0.664,399.1974852367089,305.91737929134257,136.8650618276646,114.999044189419,east,1.0
2,1240810200003,Areia Preta / Mãe Luiza / Petropólis,4799,0.54,80.16,39.26,2128.07,9.73,0.885,0.84,0.919,0.897,370.474025710813,278.6583353862392,132.64203446411236,103.676847792873,east,3.0
3,1240810200004,Lagoa Azul : Conjunto Parque das Dunas / Nordelândia,28567,0.37,69.36,47.5,336.0,3.66,0.637,0.581,0.739,0.601,498.7025333214541,370.02061101130187,126.14393237943288,102.681370928575,north,60.0
4,1240810200005,Nossa Senhora da Apresentação : Loteamentos Populares,43331,0.43,69.18,51.04,316.29,3.42,0.615,0.534,0.736,0.591,482.90896785543873,355.66424433358776,129.971018978251,107.74474645503192,north,116.0
5,1240810200006,Lagoa Azul : José Sarney,9446,0.41,69.25,49.37,322.8,4.5,0.605,0.505,0.738,0.594,441.9282313466389,324.8260663711659,146.4710957558604,116.21090850642238,north,4.0
6,1240810200007,Redinha / Pajuçara,6618,0.41,69.25,51.37,322.8,3.88,0.605,0.505,0.738,0.594,463.5860767337721,344.1709096693376,144.66902356298763,117.17045734611868,north,6.0
7,1240810200008,Pajuçara : Av. Pompéia,20853,0.37,69.36,45.4,336.0,3.19,0.637,0.581,0.739,0.601,430.5128588663175,310.11730657610264,139.96366052891565,111.66271281405984,north,25.0
8,1240810200009,Lagoa Nova : Tenente Procópio,1173,0.47,74.61,32.54,607.89,6.99,0.734,0.688,0.827,0.696,326.23688328992165,246.0024115705234,128.96302229316802,100.97647352744914,south,5.0
9,1240810200010,Nova Descoberta,7561,0.47,74.61,38.43,607.89,8.49,0.734,0.688,0.827,0.696,315.3728658745904,235.4388377070384,125.52379520145284,101.4692883101371,south,9.0
10,1240810200011,Ponta Negra: Vila de Ponta Negra / Morro do Careca,7083,0.45,74.31,43.7,589.62,4.05,0.721,0.659,0.822,0.691,383.63241997541866,313.61306265848015,109.43979559312864,101.73772160564384,south,29.0
11,1240810200012,Ponta Negra : Orla / Rua Erivan França,1415,0.44,78.0,36.19,902.93,6.15,0.798,0.758,0.883,0.759,318.25610561687864,241.41528020955727,128.95002344354447,100.52313942210957,south,2.0
12,1240810200013,Capim Macio / Ponta Negra / Neópolis / Lagoa Nova / Parque das Dunas / Campus UFRN,36697,0.46,80.75,28.7,2511.55,9.19,0.909,0.875,0.929,0.924,281.17220410915223,216.95474089656847,99.78397269396748,74.45578532715743,south,150.0
13,1240810200014,Ponta Negra : Lagoinha,302,0.41,69.25,32.46,322.8,1.66,0.605,0.505,0.738,0.594,328.38333034658893,247.6949963915575,128.65532225094793,101.0935446137619,south,26.5
14,1240810200015,Lagoa Nova : Potilândia,1663,0.45,78.42,40.81,1209.07,16.06,0.842,0.831,0.89,0.806,325.8160881512617,246.00651241518696,127.95052143578565,100.60193567438117,south,6.0
15,1240810200016,Neópolis / Ponta Negra,16712,0.45,78.42,29.98,1209.07,7.16,0.842,0.831,0.89,0.806,323.9383726255731,236.826018977697,124.48029292633012,99.37584976771517,south,36.0
16,1240810200017,Pitimbu : Conjunto Bancários,6894,0.44,78.0,27.01,902.93,6.53,0.798,0.758,0.883,0.759,371.5936453717413,276.7730321244295,145.30036520859534,120.95522230530774,south,30.0
17,1240810200018,Lagoa Nova : Coqueiros,2794,0.44,78.0,37.84,902.93,8.88,0.798,0.758,0.883,0.759,324.7484106934172,244.7039061048485,128.38069648977978,100.39505666475388,south,8.0
18,1240810200019,Pitimbu / Cidade Satélite / Candelária / Neópolis,27471,0.42,79.19,29.95,1460.77,9.35,0.869,0.868,0.903,0.837,351.19098008339984,261.19732715550043,108.18867395560488,85.53702880660666,south,122.0
19,1240810200020,Lagoa Nova / Nova Descoberta / Morro Branco,29883,0.53,80.59,35.7,2328.3,11.74,0.901,0.865,0.927,0.912,310.89413786738805,235.25013600044207,117.27525590473164,86.70932672391892,south,162.0
20,1240810200021,Candelária : Bairro Latino,11971,0.54,80.16,32.03,2128.07,12.42,0.885,0.84,0.919,0.897,284.70369052120435,209.6831022204937,124.28032098388611,93.87998006433163,south,58.0
21,1240810200022,Candelária / Lagoa Nova,14875,0.54,81.01,29.46,4119.01,7.65,0.948,0.912,0.934,1.0,334.943370282818,254.43857623716752,107.95562305977026,80.28762202118904,south,76.0
22,1240810200023,Alecrim ( Baldo ) / Cidade Alta / Passo da Pátria / Ocidental,3658,0.41,69.25,43.28,322.8,4.51,0.605,0.505,0.738,0.594,374.8648697394184,292.05050531735174,129.62311104679387,104.01363981501312,east,26.5
23,1240810200024,Alecrim : Rua dos Caicós / Rua dos Pajeús / Vilas residenciais,906,0.41,69.25,40.68,322.8,14.02,0.605,0.505,0.738,0.594,349.5354880434925,257.556967237726,134.34551642246024,104.00789917579831,east,2.0
24,1240810200025,Alecrim : Av. Presidente Sarmento / Igreja da Conceição / Mercado da Seis,2522,0.47,74.61,40.19,607.89,10.47,0.734,0.688,0.827,0.696,344.8205435500188,254.9202674347989,134.07921939038616,104.04196651866344,east,10.0
25,1240810200026,Alecrim : Feira do Alecrim / Comércio do Alecrim / Rua Presidente Quaresma ( Av. 1 ),464,0.41,69.25,32.95,322.8,14.44,0.605,0.505,0.738,0.594,346.95972793430155,256.8790460736201,134.79688627587169,104.38150557722628,east,5.0
26,1240810200027,Praia do Meio : São José de Jacó,328,0.41,69.25,44.49,322.8,2.74,0.605,0.505,0.738,0.594,348.4664628919893,258.32020316124124,135.3847114492446,104.71683695594852,east,26.5
27,1240810200028,Santos Reis : Brasilia Teimosa / Vietnã,965,0.41,69.25,48.01,322.8,8.81,0.605,0.505,0.738,0.594,356.48347429745405,264.01738277387767,136.7369947036154,107.5960912296923,east,1.0
28,1240810200030,Petrópolis / Praia do Meio / Rocas,17857,0.48,74.93,42.28,621.26,9.95,0.745,0.71,0.832,0.699,341.5837759639056,245.9943227257926,139.05432773039703,101.09282664961373,east,14.0
29,1240810200031,Alecrim / Barro Vermelho / Lagoa Seca,20983,0.44,78.0,38.71,902.93,12.03,0.798,0.758,0.883,0.759,323.4756059402731,232.6665082799554,123.05450010699376,90.67155753579137,east,111.0
30,1240810200032,Lagoa Seca / Barro Vermelho / Tirol,13935,0.54,80.16,35.15,2128.07,12.72,0.885,0.84,0.919,0.897,308.951332519306,229.4299702087596,127.83675428007204,91.51546855864405,east,78.0
31,1240810200033,Santos Reis / Ribeira / Rocas / Cidade Alta,5039,0.54,80.16,36.82,2128.07,13.24,0.885,0.84,0.919,0.897,370.0181523847469,274.6443291215802,128.69214869791026,98.46269925472822,east,37.0
32,1240810200034,Cidade Alta : Areado,675,0.47,74.61,45.16,607.89,5.04,0.734,0.688,0.827,0.696,358.4688258397225,269.3465665025674,134.76987471447725,106.95913513332094,east,26.5
33,1240810200035,Cidade Alta / Alecrim,8389,0.45,78.42,38.82,1209.07,13.15,0.842,0.831,0.89,0.806,354.5388947149367,260.68519732233983,129.5985199564555,100.50277646316832,east,57.0
34,1240810200036,Praia do Meio : Rua Presidente Café Filho,1062,0.54,81.01,21.65,4119.01,7.34,0.948,0.912,0.934,1.0,323.4491235105276,229.67707023930348,148.66207638138332,112.11348045133592,east,4.0
35,1240810200037,Dix-Sept Rosado / Nossa Senhora de Nazaré / Rua dos Potiguares,3079,0.54,80.16,36.24,2128.07,10.36,0.885,0.84,0.919,0.897,322.81125535973115,231.93544703683105,131.53300686889088,99.28981363673014,west,16.0
36,1240810200038,Cidade da Esperança : Condomínios / Rodoviária,1333,0.54,81.01,35.19,4119.01,5.85,0.948,0.912,0.934,1.0,394.5961316890349,297.412303525747,136.45056834943136,108.84448294275752,west,6.0
37,1240810200039,Felipe Camarão : Conjunto Jardim América,1079,0.45,78.42,32.88,1209.07,7.78,0.842,0.831,0.89,0.806,405.0160287529296,293.996934466594,141.95982871264098,115.54246355735675,west,3.0
38,1240810200041,Cidade da Esperança / Nossa Senhora de Nazaré / Dix-Sept Rosado,48542,0.44,75.07,40.41,622.72,8.58,0.74,0.693,0.835,0.7,354.05401682817325,249.28266898861392,123.29846414996511,95.58205026115864,west,132.0
39,1240810200042,Guarapes / Planalto,16105,0.46,72.67,40.21,497.12,3.19,0.694,0.634,0.795,0.664,438.7753878759007,304.8372584817056,156.1241729950655,125.09841113454702,west,42.0
40,1240810200043,Felipe Camarão : Rua Projetada / Rua Indomar,1077,0.48,74.93,48.76,621.26,5.11,0.745,0.71,0.832,0.699,403.5035869013983,294.3369737714655,143.9339255641891,111.68352478668892,west,26.5
41,1240810200044,Planalto : Promorar,1282,0.47,74.61,35.66,607.89,2.42,0.734,0.688,0.827,0.696,405.3874930556995,295.75905807406286,143.7320556943254,111.770739230546,west,3.0
42,1240810200045,Nordeste / Quintas,25783,0.45,74.31,43.36,589.62,9.48,0.721,0.659,0.822,0.691,384.50396283266224,270.41728017067265,130.18110221036773,100.25798559591746,east,84.0
43,1240810200046,Bom Pastor / Nordeste,29206,0.47,70.39,47.3,420.14,6.85,0.645,0.557,0.757,0.637,393.4146973590157,284.8111707176989,124.05848254114466,93.87289360012882,west,92.0
44,1240810200047,Nordeste : Mosquito,1156,0.41,69.25,55.59,322.8,4.67,0.605,0.505,0.738,0.594,411.12005694500766,305.41997781180845,140.29399516622013,114.99699169342512,west,1.0
45,1240810200048,Guarapes / Planalto / Cidade Nova,31245,0.45,69.47,50.33,337.03,3.74,0.625,0.547,0.741,0.601,491.7368449809108,392.2972769705524,115.79743679727578,98.48286673806908,west,76.0
46,1240810200049,Felipe Camarão,53158,0.42,70.15,47.71,378.05,4.57,0.642,0.567,0.753,0.62,464.74345004766695,333.16466136206304,137.1239584070943,118.75459882551084,west,59.0
47,1240810200050,Felipe Camarão / Rua Antônio Carolino / Rua Rainha do Mar,1263,0.47,74.61,40.65,607.89,3.48,0.734,0.688,0.827,0.696,404.9217912667222,295.44852594186784,144.791650849351,112.8361480879982,west,2.0
48,1240810200051,Dix-Sept Rosado : Treze de Maio,2457,0.41,69.25,47.13,322.8,5.09,0.605,0.505,0.738,0.594,345.0752681690892,247.546093426786,130.21190521896588,100.3723076707076,west,7.0
49,1240810200052,Planalto : Planalto Conab,665,0.41,69.25,50.79,322.8,1.35,0.605,0.505,0.738,0.594,402.4796403781967,293.49094274350466,143.53389332768427,111.2317996418046,west,3.0
50,1240810200053,Potengi : Soledade / Santarém / Panatis / Santa Catarina,60939,0.5,75.73,36.85,748.98,7.25,0.772,0.747,0.846,0.729,380.2057463989222,267.28720927011454,139.80481112422248,102.17020391455296,north,196.0
51,1240810200054,Salinas,1877,0.41,69.25,51.01,322.8,5.38,0.605,0.505,0.738,0.594,486.2564422064034,408.3351533091431,100.33596326034328,81.5355648275724,north,2.0
52,1240810200055,Nossa Senhora da Apresentação : Parque dos Coqueiros,11711,0.48,74.93,38.25,621.26,4.96,0.745,0.71,0.832,0.699,449.19941551970805,333.0147301025688,143.0858272156066,121.30496275304496,north,48.0
53,1240810200056,Igapó / Gancho / Av. das Fronteiras / Av. Boa Sorte,49745,0.44,72.47,41.17,474.42,4.82,0.699,0.659,0.791,0.656,411.8802464210781,289.9066782579512,130.08053841452653,100.5449211963334,north,109.0
54,1240810200057,Redinha : Raio de Sol,1317,0.41,69.25,56.79,322.8,2.96,0.605,0.505,0.738,0.594,444.1795163313221,327.8167760851234,147.1353050935238,114.69174988610544,north,26.5
55,1240810200058,Redinha,14594,0.47,74.61,41.81,607.89,4.94,0.734,0.688,0.827,0.696,456.4492623300639,332.1637006702179,129.56114010755184,105.74229231896533,north,28.0
56,1240810200059,Lagoa Azul / Cidade Praia / Pajuçara / Nova Natal / Gramoré,54545,0.4,72.09,39.22,470.69,4.65,0.72,0.725,0.785,0.655,444.61774204326326,310.11458186571696,138.1917397680429,111.6670135784691,north,146.0
57,1240810200060,Nordeste : Boa Vista,975,0.45,78.42,53.54,1209.07,20.41,0.842,0.831,0.89,0.806,408.5036921954925,295.01022300735343,144.84710212654704,121.22362479638382,west,1.0
